slug,title,difficulty,frequency,topics
sliding-window-maximum,Sliding Window Maximum,Hard,53.8,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
product-of-array-except-self,Product of Array Except Self,Medium,53.6,"Array, Prefix Sum"
longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,53.6,"Hash Table, String, Sliding Window"
single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,53.6,"Array, Binary Search"
add-binary,Add Binary,Easy,53.4,"Math, String, Bit Manipulation, Simulation"
zigzag-conversion,Zigzag Conversion,Medium,53.4,String
russian-doll-envelopes,Russian Doll Envelopes,Hard,53.4,"Array, Binary Search, Dynamic Programming, Sorting"
combine-two-tables,Combine Two Tables,Easy,52.9,Database
longest-increasing-subsequence,Longest Increasing Subsequence,Medium,52.9,"Array, Binary Search, Dynamic Programming"
regular-expression-matching,Regular Expression Matching,Hard,52.8,"String, Dynamic Programming, Recursion"
power-of-two,Power of Two,Easy,52.6,"Math, Bit Manipulation, Recursion"
number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,52.6,"Array, Stack, Monotonic Stack"
set-matrix-zeroes,Set Matrix Zeroes,Medium,52.4,"Array, Hash Table, Matrix"
find-median-from-data-stream,Find Median from Data Stream,Hard,52.0,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,52.0,"Array, Binary Search"
maximal-square,Maximal Square,Medium,51.8,"Array, Dynamic Programming, Matrix"
subsets,Subsets,Medium,51.5,"Array, Backtracking, Bit Manipulation"
course-schedule,Course Schedule,Medium,51.5,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
binary-search,Binary Search,Easy,51.3,"Array, Binary Search"
valid-palindrome,Valid Palindrome,Easy,51.3,"Two Pointers, String"
basic-calculator,Basic Calculator,Hard,51.3,"Math, String, Stack, Recursion"
maximal-rectangle,Maximal Rectangle,Hard,51.1,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
rotting-oranges,Rotting Oranges,Medium,51.1,"Array, Breadth-First Search, Matrix"
remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,51.1,"Linked List, Two Pointers"
contains-duplicate,Contains Duplicate,Easy,51.1,"Array, Hash Table, Sorting"
min-stack,Min Stack,Medium,50.9,"Stack, Design"
intersection-of-two-arrays,Intersection of Two Arrays,Easy,50.9,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
permutations,Permutations,Medium,50.5,"Array, Backtracking"
unique-paths,Unique Paths,Medium,50.3,"Math, Dynamic Programming, Combinatorics"
sqrtx,Sqrt(x),Easy,50.3,"Math, Binary Search"
merge-k-sorted-lists,Merge k Sorted Lists,Hard,50.1,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
maximum-product-subarray,Maximum Product Subarray,Medium,49.6,"Array, Dynamic Programming"
coin-change,Coin Change,Medium,49.4,"Array, Dynamic Programming, Breadth-First Search"
count-number-of-trapezoids-ii,Count Number of Trapezoids II,Hard,49.2,"Array, Hash Table, Math, Geometry"
3sum-closest,3Sum Closest,Medium,49.0,"Array, Two Pointers, Sorting"
palindrome-linked-list,Palindrome Linked List,Easy,49.0,"Linked List, Two Pointers, Stack, Recursion"
binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,48.8,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
first-missing-positive,First Missing Positive,Hard,48.5,"Array, Hash Table"
max-consecutive-ones-iii,Max Consecutive Ones III,Medium,48.3,"Array, Binary Search, Sliding Window, Prefix Sum"
two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,48.1,"Array, Two Pointers, Binary Search"
fruit-into-baskets,Fruit Into Baskets,Medium,47.8,"Array, Hash Table, Sliding Window"
reverse-words-in-a-string,Reverse Words in a String,Medium,47.8,"Two Pointers, String"
insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,47.8,"Array, Hash Table, Math, Design, Randomized"
sudoku-solver,Sudoku Solver,Hard,47.6,"Array, Hash Table, Backtracking, Matrix"
middle-of-the-linked-list,Middle of the Linked List,Easy,47.6,"Linked List, Two Pointers"
best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,47.3,"Array, Dynamic Programming, Greedy"
jump-game-ii,Jump Game II,Medium,47.1,"Array, Dynamic Programming, Greedy"
find-all-numbers-disappeared-in-an-array,Find All Numbers Disappeared in an Array,Easy,47.1,"Array, Hash Table"
the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,47.1,"Array, Union-Find, Sorting"
valid-sudoku,Valid Sudoku,Medium,47.1,"Array, Hash Table, Matrix"
candy,Candy,Hard,47.1,"Array, Greedy"
linked-list-cycle,Linked List Cycle,Easy,47.1,"Hash Table, Linked List, Two Pointers"
contains-duplicate-ii,Contains Duplicate II,Easy,46.8,"Array, Hash Table, Sliding Window"
reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,46.8,"Linked List, Recursion"
zero-array-transformation-i,Zero Array Transformation I,Medium,46.8,"Array, Prefix Sum"
partition-equal-subset-sum,Partition Equal Subset Sum,Medium,46.6,"Array, Dynamic Programming"
combination-sum,Combination Sum,Medium,46.6,"Array, Backtracking"
daily-temperatures,Daily Temperatures,Medium,46.6,"Array, Stack, Monotonic Stack"
running-sum-of-1d-array,Running Sum of 1d Array,Easy,46.6,"Array, Prefix Sum"
same-tree,Same Tree,Easy,46.3,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
guess-the-word,Guess the Word,Hard,46.3,"Array, Math, String, Interactive, Game Theory"
remove-k-digits,Remove K Digits,Medium,46.0,"String, Stack, Greedy, Monotonic Stack"
edit-distance,Edit Distance,Medium,46.0,"String, Dynamic Programming"
count-primes,Count Primes,Medium,46.0,"Array, Math, Enumeration, Number Theory"
peak-index-in-a-mountain-array,Peak Index in a Mountain Array,Medium,46.0,"Array, Binary Search"
fibonacci-number,Fibonacci Number,Easy,46.0,"Math, Dynamic Programming, Recursion, Memoization"
separate-squares-i,Separate Squares I,Medium,46.0,"Array, Binary Search"
insert-interval,Insert Interval,Medium,45.7,Array
length-of-last-word,Length of Last Word,Easy,45.7,String
rotate-list,Rotate List,Medium,45.7,"Linked List, Two Pointers"
text-justification,Text Justification,Hard,45.5,"Array, String, Simulation"
isomorphic-strings,Isomorphic Strings,Easy,45.5,"Hash Table, String"
reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,45.5,"Two Pointers, String"
sum-of-subarray-minimums,Sum of Subarray Minimums,Medium,45.5,"Array, Dynamic Programming, Stack, Monotonic Stack"
word-break,Word Break,Medium,45.2,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
sort-an-array,Sort an Array,Medium,45.2,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort"
missing-number,Missing Number,Easy,44.9,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
palindrome-partitioning,Palindrome Partitioning,Medium,44.9,"String, Dynamic Programming, Backtracking"
minimum-area-rectangle,Minimum Area Rectangle,Medium,44.9,"Array, Hash Table, Math, Geometry, Sorting"
count-number-of-trapezoids-i,Count Number of Trapezoids I,Medium,44.9,"Array, Hash Table, Math, Geometry"
second-highest-salary,Second Highest Salary,Medium,44.6,Database
find-the-duplicate-number,Find the Duplicate Number,Medium,44.6,"Array, Two Pointers, Binary Search, Bit Manipulation"
next-greater-element-ii,Next Greater Element II,Medium,44.6,"Array, Stack, Monotonic Stack"
diameter-of-binary-tree,Diameter of Binary Tree,Easy,44.6,"Tree, Depth-First Search, Binary Tree"
create-a-dataframe-from-list,Create a DataFrame from List,Easy,44.6,
wildcard-matching,Wildcard Matching,Hard,44.3,"String, Dynamic Programming, Greedy, Recursion"
subsets-ii,Subsets II,Medium,44.3,"Array, Backtracking, Bit Manipulation"
reverse-pairs,Reverse Pairs,Hard,44.3,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
random-pick-with-weight,Random Pick with Weight,Medium,44.3,"Array, Math, Binary Search, Prefix Sum, Randomized"
capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,44.3,"Array, Binary Search"
unique-number-of-occurrences,Unique Number of Occurrences,Easy,44.3,"Array, Hash Table"
maximum-average-subarray-i,Maximum Average Subarray I,Easy,44.0,"Array, Sliding Window"
article-views-i,Article Views I,Easy,44.0,Database
check-if-array-is-sorted-and-rotated,Check if Array Is Sorted and Rotated,Easy,43.7,Array
reverse-string,Reverse String,Easy,43.4,"Two Pointers, String"
divide-two-integers,Divide Two Integers,Medium,43.4,"Math, Bit Manipulation"
surrounded-regions,Surrounded Regions,Medium,43.4,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
largest-number,Largest Number,Medium,43.4,"Array, String, Greedy, Sorting"
big-countries,Big Countries,Easy,43.4,Database
range-module,Range Module,Hard,43.4,"Design, Segment Tree, Ordered Set"
string-to-integer-atoi,String to Integer (atoi),Medium,43.0,String
power-of-three,Power of Three,Easy,43.0,"Math, Recursion"
target-sum,Target Sum,Medium,43.0,"Array, Dynamic Programming, Backtracking"
word-search,Word Search,Medium,43.0,"Array, String, Backtracking, Depth-First Search, Matrix"
string-compression,String Compression,Medium,43.0,"Two Pointers, String"
find-customer-referee,Find Customer Referee,Easy,43.0,Database
integer-to-roman,Integer to Roman,Medium,42.7,"Hash Table, Math, String"
move-pieces-to-obtain-a-string,Move Pieces to Obtain a String,Medium,42.7,"Two Pointers, String"
minimum-window-substring,Minimum Window Substring,Hard,42.7,"Hash Table, String, Sliding Window"
search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,42.7,"Array, Binary Search, Divide and Conquer, Matrix"
pacific-atlantic-water-flow,Pacific Atlantic Water Flow,Medium,42.7,"Array, Depth-First Search, Breadth-First Search, Matrix"
permutation-in-string,Permutation in String,Medium,42.7,"Hash Table, Two Pointers, String, Sliding Window"
squares-of-a-sorted-array,Squares of a Sorted Array,Easy,42.7,"Array, Two Pointers, Sorting"
finding-mk-average,Finding MK Average,Hard,42.7,"Design, Queue, Heap (Priority Queue), Data Stream, Ordered Set"
apply-substitutions,Apply Substitutions,Medium,42.7,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
search-a-2d-matrix,Search a 2D Matrix,Medium,42.4,"Array, Binary Search, Matrix"
first-unique-character-in-a-string,First Unique Character in a String,Easy,42.4,"Hash Table, String, Queue, Counting"
binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,42.4,"Tree, Breadth-First Search, Binary Tree"
invert-binary-tree,Invert Binary Tree,Easy,42.4,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
meeting-rooms-iii,Meeting Rooms III,Hard,42.4,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
find-the-difference,Find the Difference,Easy,42.0,"Hash Table, String, Bit Manipulation, Sorting"
greatest-common-divisor-of-strings,Greatest Common Divisor of Strings,Easy,42.0,"Math, String"
word-ladder,Word Ladder,Hard,41.7,"Hash Table, String, Breadth-First Search"
rising-temperature,Rising Temperature,Easy,41.7,Database
lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,41.7,"Tree, Depth-First Search, Binary Tree"
number-of-provinces,Number of Provinces,Medium,41.7,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
frequency-of-the-most-frequent-element,Frequency of the Most Frequent Element,Medium,41.7,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
next-greater-element-i,Next Greater Element I,Easy,41.3,"Array, Hash Table, Stack, Monotonic Stack"
remove-duplicates-from-sorted-list,Remove Duplicates from Sorted List,Easy,41.3,Linked List
employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,Easy,41.3,Database
majority-element-ii,Majority Element II,Medium,41.3,"Array, Hash Table, Sorting, Counting"
burst-balloons,Burst Balloons,Hard,41.3,"Array, Dynamic Programming"
delete-nodes-and-return-forest,Delete Nodes And Return Forest,Medium,41.3,"Array, Hash Table, Tree, Depth-First Search, Binary Tree"
kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,40.9,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
swap-adjacent-in-lr-string,Swap Adjacent in LR String,Medium,40.9,"Two Pointers, String"
symmetric-tree,Symmetric Tree,Easy,40.5,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,40.5,"Array, Binary Search, Sliding Window, Prefix Sum"
is-subsequence,Is Subsequence,Easy,40.5,"Two Pointers, String, Dynamic Programming"
maximum-width-ramp,Maximum Width Ramp,Medium,40.5,"Array, Two Pointers, Stack, Monotonic Stack"
largest-divisible-subset,Largest Divisible Subset,Medium,40.2,"Array, Math, Dynamic Programming, Sorting"
add-strings,Add Strings,Easy,40.2,"Math, String, Simulation"
sort-list,Sort List,Medium,40.2,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
intersection-of-two-linked-lists,Intersection of Two Linked Lists,Easy,40.2,"Hash Table, Linked List, Two Pointers"
swim-in-rising-water,Swim in Rising Water,Hard,40.2,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix"
minimum-number-of-days-to-make-m-bouquets,Minimum Number of Days to Make m Bouquets,Medium,40.2,"Array, Binary Search"
clone-graph,Clone Graph,Medium,39.8,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
24-game,24 Game,Hard,39.8,"Array, Math, Backtracking"
count-good-numbers,Count Good Numbers,Medium,39.8,"Math, Recursion"
longest-valid-parentheses,Longest Valid Parentheses,Hard,39.8,"String, Dynamic Programming, Stack"
remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,39.8,"Array, Two Pointers"
gas-station,Gas Station,Medium,39.8,"Array, Greedy"
first-bad-version,First Bad Version,Easy,39.8,"Binary Search, Interactive"
perfect-squares,Perfect Squares,Medium,39.8,"Math, Dynamic Programming, Breadth-First Search"
odd-even-linked-list,Odd Even Linked List,Medium,39.8,Linked List
task-scheduler,Task Scheduler,Medium,39.8,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
find-k-closest-elements,Find K Closest Elements,Medium,39.8,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
copy-list-with-random-pointer,Copy List with Random Pointer,Medium,39.3,"Hash Table, Linked List"
trapping-rain-water-ii,Trapping Rain Water II,Hard,39.3,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
rotate-string,Rotate String,Easy,39.3,"String, String Matching"
longest-common-subsequence,Longest Common Subsequence,Medium,39.3,"String, Dynamic Programming"
reverse-linked-list-ii,Reverse Linked List II,Medium,39.3,Linked List
binary-tree-inorder-traversal,Binary Tree Inorder Traversal,Easy,39.3,"Stack, Tree, Depth-First Search, Binary Tree"
binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,39.3,"Tree, Breadth-First Search, Binary Tree"
summary-ranges,Summary Ranges,Easy,39.3,Array
ransom-note,Ransom Note,Easy,39.3,"Hash Table, String, Counting"
fizz-buzz,Fizz Buzz,Easy,39.3,"Math, String, Simulation"
zero-array-transformation-ii,Zero Array Transformation II,Medium,39.3,"Array, Two Pointers, Binary Search, Prefix Sum"
single-number-ii,Single Number II,Medium,38.9,"Array, Bit Manipulation"
reorder-list,Reorder List,Medium,38.9,"Linked List, Two Pointers, Stack, Recursion"
shortest-palindrome,Shortest Palindrome,Hard,38.5,"String, Rolling Hash, String Matching, Hash Function"
implement-stack-using-queues,Implement Stack using Queues,Easy,38.5,"Stack, Design, Queue"
find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,38.5,"Array, Binary Search"
serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,38.5,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,38.5,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix"
01-matrix,01 Matrix,Medium,38.5,"Array, Dynamic Programming, Breadth-First Search, Matrix"
asteroid-collision,Asteroid Collision,Medium,38.5,"Array, Stack, Simulation"
average-time-of-process-per-machine,Average Time of Process per Machine,Easy,38.5,Database
group-shifted-strings,Group Shifted Strings,Medium,38.0,"Array, Hash Table, String"
counter,Counter,Easy,38.0,
swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,38.0,"Linked List, Recursion"
search-in-rotated-sorted-array-ii,Search in Rotated Sorted Array II,Medium,38.0,"Array, Binary Search"
coin-change-ii,Coin Change II,Medium,38.0,"Array, Dynamic Programming"
can-place-flowers,Can Place Flowers,Easy,38.0,"Array, Greedy"
reorganize-string,Reorganize String,Medium,38.0,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
